DayOfWeek,TimeOfDay,ScaledTime,IP_Address,IP_AsRank,IP_AsAttackCount,IP_AsRandomInt,Port,PortNormalised,Uname,UName_AsRank,UName_AsCount,UName_AsRandomInt,Country,City,Loc_X,Loc_Y,Loc_Z
2,16,0.2484076433121019,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,55106,0.8090990885263858,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.2528898325076669,"""59.45.175.32""",0.0,1.0,0.875,55812,0.8229081093768337,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.2618542108987969,"""59.45.175.32""",0.0,1.0,0.875,17752,0.07847279270821109,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.2656286860108516,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,28121,0.28128545162930796,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.27317763623496105,"""59.45.175.32""",0.0,1.0,0.875,62842,0.9604115322927669,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.28402925218211844,"""59.45.175.32""",0.0,1.0,0.875,26979,0.2589484802253257,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.28450106157112526,"""59.45.175.32""",0.0,1.0,0.875,26979,0.2589484802253257,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.2962962962962963,"""112.74.63.26""",0.4444444444444444,0.25806451612903225,0.25,47024,0.6510190509721081,"""ubuntu""",0.5,0.0,1.0,"""China""","""Hangzhou""",0.6544076263063051, 0.6530183588808627, 0.051239012794322525
2,16,0.3727294173154046,"""112.74.63.26""",0.4444444444444444,0.25806451612903225,0.25,43612,0.584281970034816,"""ubuntu""",0.5,0.0,1.0,"""China""","""Hangzhou""",0.6544076263063051, 0.6530183588808627, 0.051239012794322525
2,16,0.43524416135881105,"""59.45.175.32""",0.0,1.0,0.875,61936,0.9426906075186794,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.4418494928049068,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,40549,0.524371161444275,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.4444444444444444,"""59.45.175.32""",0.0,1.0,0.875,61415,0.9325000977975981,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.44987025241802314,"""112.74.63.26""",0.4444444444444444,0.25806451612903225,0.25,43748,0.5869420647028909,"""ubuntu""",0.5,0.0,1.0,"""China""","""Hangzhou""",0.6544076263063051, 0.6530183588808627, 0.051239012794322525
2,16,0.4543524416135881,"""59.45.175.32""",0.0,1.0,0.875,50593,0.7208269764894574,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.4588346308091531,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,53395,0.7756327504596487,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.46473224817173864,"""59.45.175.32""",0.0,1.0,0.875,30909,0.3358173923248445,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.46520405756074545,"""59.45.175.32""",0.0,1.0,0.875,30909,0.3358173923248445,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.47629157820240625,"""59.45.175.32""",0.0,1.0,0.875,62512,0.9539568908187614,"""root""",0.0,1.0,0.0,"""China""","""Shenyang""",0.6783682212778805, 0.7297727835592216, 0.0946827574387446
2,16,0.49233309742863884,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,31490,0.3471814732230176,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
2,16,0.5114413776834159,"""116.31.116.38""",0.1111111111111111,0.6774193548387096,0.0,18441,0.09194930172514963,"""root""",0.0,1.0,0.0,"""China""","""Shenzhen""",0.2815020940173457, 0.13118117234456111, 0.24350836327878017
